Timestamp,Heart Rate,RR Interval in seconds
2023/11/10 0:53:10,87,0.687
2023/11/10 0:53:11,87,0.714
2023/11/10 0:53:12,86,0.722
2023/11/10 0:53:12,86,0.685
2023/11/10 0:53:13,86,0.687
2023/11/10 0:53:13,86,0.673
2023/11/10 0:53:15,87,0.664
2023/11/10 0:53:16,88,1.254
2023/11/10 0:53:16,88,0.623
2023/11/10 0:53:17,88,0.637
2023/11/10 0:53:18,89,0.680
2023/11/10 0:53:18,89,0.668
2023/11/10 0:53:19,89,0.662
2023/11/10 0:53:19,89,0.651
2023/11/10 0:53:20,90,0.624
2023/11/10 0:53:21,91,0.621
2023/11/10 0:53:21,91,0.621
2023/11/10 0:53:22,92,0.623
2023/11/10 0:53:23,94,0.599
2023/11/10 0:53:23,94,0.603
2023/11/10 0:53:24,96,0.601
2023/11/10 0:53:24,96,0.591
2023/11/10 0:53:25,97,0.595
2023/11/10 0:53:26,98,0.605
2023/11/10 0:53:26,98,0.597
2023/11/10 0:53:27,98,0.630
2023/11/10 0:53:28,97,0.679
2023/11/10 0:53:28,97,0.702
2023/11/10 0:53:29,95,0.726
2023/11/10 0:53:30,93,0.692
2023/11/10 0:53:31,91,0.715
2023/11/10 0:53:31,91,0.734
2023/11/10 0:53:32,90,0.746
2023/11/10 0:53:33,87,0.714
2023/11/10 0:53:33,87,0.746
2023/11/10 0:53:34,87,0.771
2023/11/10 0:53:35,85,0.701
2023/11/10 0:53:35,85,0.678
2023/11/10 0:53:36,85,0.671
2023/11/10 0:53:37,86,0.657
2023/11/10 0:53:37,86,0.660
2023/11/10 0:53:38,87,0.668
2023/11/10 0:53:39,88,0.639
2023/11/10 0:53:39,88,0.633
2023/11/10 0:53:40,89,0.651
2023/11/10 0:53:41,90,0.667
2023/11/10 0:53:41,90,0.675
2023/11/10 0:53:42,90,0.690
2023/11/10 0:53:43,90,0.717
2023/11/10 0:53:44,88,0.749
2023/11/10 0:53:44,88,0.727
2023/11/10 0:53:45,87,0.751
2023/11/10 0:53:46,86,0.782
2023/11/10 0:53:47,85,0.778
2023/11/10 0:53:48,83,0.757
2023/11/10 0:53:48,83,0.788
2023/11/10 0:53:49,83,0.753
2023/11/10 0:53:50,82,0.737
2023/11/10 0:53:50,82,0.714
2023/11/10 0:53:51,82,0.675
2023/11/10 0:53:52,83,0.653
2023/11/10 0:53:52,83,0.651
2023/11/10 0:53:53,84,0.704
2023/11/10 0:53:54,85,0.741
2023/11/10 0:53:55,84,0.762
2023/11/10 0:53:55,84,0.751
2023/11/10 0:53:56,84,0.711
2023/11/10 0:53:57,83,0.739
2023/11/10 0:53:58,83,0.745
2023/11/10 0:53:58,83,0.735
2023/11/10 0:53:59,83,0.715
2023/11/10 0:54:00,83,0.749
2023/11/10 0:54:01,82,0.751
2023/11/10 0:54:01,82,0.735
2023/11/10 0:54:02,82,0.730
2023/11/10 0:54:03,82,0.756
2023/11/10 0:54:04,82,0.770
2023/11/10 0:54:04,82,0.739
2023/11/10 0:54:05,81,0.728
2023/11/10 0:54:06,81,0.765
2023/11/10 0:54:07,81,0.771
2023/11/10 0:54:07,81,0.758
2023/11/10 0:54:08,81,0.729
2023/11/10 0:54:09,81,0.759
2023/11/10 0:54:10,81,0.770
2023/11/10 0:54:10,81,0.757
2023/11/10 0:54:11,80,0.729
2023/11/10 0:54:12,80,0.758
2023/11/10 0:54:13,80,0.756
2023/11/10 0:54:13,80,0.734
2023/11/10 0:54:14,80,0.705
2023/11/10 0:54:15,81,0.726
2023/11/10 0:54:15,81,0.751
2023/11/10 0:54:16,81,0.768
2023/11/10 0:54:17,81,0.742
2023/11/10 0:54:18,81,0.733
2023/11/10 0:54:18,81,0.762
2023/11/10 0:54:19,81,0.766
2023/11/10 0:54:20,80,0.736
2023/11/10 0:54:21,80,0.734
2023/11/10 0:54:22,80,0.766
2023/11/10 0:54:22,80,0.775
2023/11/10 0:54:23,80,0.766
2023/11/10 0:54:24,80,0.717
2023/11/10 0:54:24,80,0.730
2023/11/10 0:54:25,80,0.745
2023/11/10 0:54:26,80,0.755
2023/11/10 0:54:27,80,0.725
2023/11/10 0:54:27,80,0.732
2023/11/10 0:54:28,81,0.761
2023/11/10 0:54:29,81,0.764
2023/11/10 0:54:30,80,0.752
2023/11/10 0:54:31,80,0.740
2023/11/10 0:54:31,80,0.767
2023/11/10 0:54:32,80,0.793
2023/11/10 0:54:33,80,0.787
2023/11/10 0:54:34,79,0.742
2023/11/10 0:54:34,79,0.772
2023/11/10 0:54:35,79,0.787
2023/11/10 0:54:36,79,0.808
2023/11/10 0:54:37,79,0.804
2023/11/10 0:54:38,78,0.746
2023/11/10 0:54:38,78,0.771
2023/11/10 0:54:39,78,0.783
2023/11/10 0:54:40,78,0.771
2023/11/10 0:54:41,78,0.738
2023/11/10 0:54:41,78,0.756
